 DateTime,Rain,PET,EPot,EAct,W,SM,RS,RI,ExcS,ExcI,R,RObs
2012- 7- 5 13: 0: 0,     0.000,     0.114,     0.114,     0.102,   114.959,     0.896,     0.000,     5.451,     0.000,     0.000,    68.068,   122.500
2012- 7- 5 14: 0: 0,     0.017,     0.114,     0.114,     0.087,   114.872,     0.896,     0.000,     5.396,     0.000,     0.000,    70.800,   102.000
2012- 7- 5 15: 0: 0,     0.000,     0.000,     0.000,     0.000,   114.872,     0.896,     0.000,     5.340,     0.000,     0.000,    73.667,   102.000
2012- 7- 5 16: 0: 0,     0.000,     0.000,     0.000,     0.000,   114.872,     0.896,     0.000,     5.282,     0.000,     0.000,    76.667,   102.000
2012- 7- 5 17: 0: 0,     0.000,     0.000,     0.000,     0.000,   114.872,     0.896,     0.000,     5.221,     0.000,     0.000,    79.801,   102.000
2012- 7- 5 18: 0: 0,     0.000,     0.000,     0.000,     0.000,   114.872,     0.896,     0.000,     5.157,     0.000,     0.000,    83.072,   102.000
2012- 7- 5 19: 0: 0,     0.000,     0.000,     0.000,     0.000,   114.872,     0.896,     0.000,     5.091,     0.000,     0.000,    86.482,   102.000
2012- 7- 5 20: 0: 0,     0.000,     0.000,     0.000,     0.000,   114.872,     0.896,     0.000,     5.022,     0.000,     0.000,    90.031,   102.000
2012- 7- 5 21: 0: 0,     0.000,     0.000,     0.000,     0.000,   114.872,     0.896,     0.000,     4.951,     0.000,     0.000,    93.715,   100.183
2012- 7- 5 22: 0: 0,     0.000,     0.000,     0.000,     0.000,   114.872,     0.896,     0.000,     4.876,     0.000,     0.000,    97.525,    98.367
2012- 7- 5 23: 0: 0,     0.000,     0.000,     0.000,     0.000,   114.872,     0.896,     0.000,     4.799,     0.000,     0.000,   101.447,    96.550
2012- 7- 6  0: 0: 0,     0.001,     0.042,     0.042,     0.037,   114.835,     0.895,     0.000,     4.718,     0.000,     0.000,   105.462,    94.733
2012- 7- 6  1: 0: 0,     0.000,     0.042,     0.042,     0.038,   114.797,     0.895,     0.000,     4.635,     0.000,     0.000,   109.541,    92.917
2012- 7- 6  2: 0: 0,     0.000,     0.042,     0.042,     0.038,   114.759,     0.895,     0.000,     4.548,     0.000,     0.000,   113.651,    91.100
2012- 7- 6  3: 0: 0,     0.000,     0.305,     0.305,     0.273,   114.486,     0.892,     0.000,     4.457,     0.000,     0.000,   117.757,    87.750
2012- 7- 6  4: 0: 0,     0.000,     0.305,     0.305,     0.272,   114.214,     0.890,     0.000,     4.364,     0.000,     0.000,   121.815,    84.400
2012- 7- 6  5: 0: 0,     0.000,     0.305,     0.305,     0.271,   113.943,     0.888,     0.000,     4.267,     0.000,     0.000,   125.779,    81.050
2012- 7- 6  6: 0: 0,     0.000,     0.601,     0.601,     0.534,   113.408,     0.884,     0.000,     4.167,     0.000,     0.000,   129.603,    77.700
2012- 7- 6  7: 0: 0,     0.000,     0.601,     0.601,     0.532,   112.877,     0.880,     0.000,     4.064,     0.000,     0.000,   133.236,    74.350
2012- 7- 6  8: 0: 0,     0.000,     0.601,     0.601,     0.529,   112.348,     0.875,     0.000,     3.958,     0.000,     0.000,   136.631,    71.000
2012- 7- 6  9: 0: 0,     0.000,     0.517,     0.517,     0.452,   111.895,     0.872,     0.000,     3.850,     0.000,     0.000,   139.742,    68.650
2012- 7- 6 10: 0: 0,     0.000,     0.517,     0.517,     0.451,   111.445,     0.868,     0.000,     3.739,     0.000,     0.000,   142.525,    66.300
2012- 7- 6 11: 0: 0,     0.000,     0.517,     0.517,     0.449,   110.996,     0.865,     0.000,     3.626,     0.000,     0.000,   144.942,    63.950
2012- 7- 6 12: 0: 0,     0.000,     0.156,     0.156,     0.134,   110.862,     0.864,     0.000,     3.511,     0.000,     0.000,   146.960,    61.600
2012- 7- 6 13: 0: 0,     0.000,     0.156,     0.156,     0.134,   110.727,     0.863,     0.000,     3.394,     0.000,     0.000,   148.549,    59.250
2012- 7- 6 14: 0: 0,     0.000,     0.156,     0.156,     0.134,   110.593,     0.862,     0.000,     3.276,     0.000,     0.000,   149.690,    56.900
2012- 7- 6 15: 0: 0,     0.000,     0.000,     0.000,     0.000,   110.593,     0.862,     0.000,     3.157,     0.000,     0.000,   150.367,    55.233
2012- 7- 6 16: 0: 0,     0.000,     0.000,     0.000,     0.000,   110.593,     0.862,     0.000,     3.038,     0.000,     0.000,   150.573,    53.567
2012- 7- 6 17: 0: 0,     0.000,     0.000,     0.000,     0.000,   110.592,     0.862,     0.000,     2.918,     0.000,     0.000,   150.306,    51.900
2012- 7- 6 18: 0: 0,     0.000,     0.000,     0.000,     0.000,   110.592,     0.862,     0.000,     2.799,     0.000,     0.000,   149.572,    50.233
2012- 7- 6 19: 0: 0,     0.000,     0.000,     0.000,     0.000,   110.592,     0.862,     0.000,     2.680,     0.000,     0.000,   148.383,    48.567
